City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Taos,US,87.8,thunderstorm,36.41,-105.57,El Monte Sagrado
146,Fomboni,KM,75.15,broken clouds,-12.28,43.74,Auberge les abou
150,Port Antonio,JM,84.2,few clouds,18.18,-76.46,Trident Hotel
152,Kavaratti,IN,82.11,light rain,10.57,72.64,Hotels in Lakshadweep Islands
155,San Antonio,US,80.6,broken clouds,29.42,-98.49,Marriott Plaza San Antonio
156,Biloela,AU,75.63,broken clouds,-24.42,150.5,Silo Motor Inn
163,Black River,JM,82.4,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
168,Jalu,LY,77.58,clear sky,29.03,21.55,Jalu Hotel
171,Dickinson,US,86.0,broken clouds,29.46,-95.05,Candlewood Suites League City
175,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
184,Inirida,CO,77.88,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
191,Whitefish,US,87.8,clear sky,48.41,-114.34,Best Western Rocky Mountain Lodge
192,Alyangula,AU,80.6,broken clouds,-13.85,136.42,Groote Eylandt Lodge
193,Hithadhoo,MV,82.27,clear sky,-0.6,73.08,Scoop Guest House
198,Phalia,PK,76.87,clear sky,32.43,73.58,Khalid & Co Coca Cola Agency Phalia
200,San Jose,US,84.99,smoke,37.34,-121.89,The Westin San Jose
208,Muroto,JP,86.0,broken clouds,33.28,134.15,Oota Ryokan
209,Fare,PF,78.3,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
211,Hirara,JP,84.2,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
212,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
214,Agadez,NE,88.63,clear sky,19.75,10.25,
215,Vila Velha,BR,75.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
221,Carutapera,BR,76.37,clear sky,-1.2,-46.02,Lidera
222,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
225,Gold Coast,AU,77.0,overcast clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
227,Tuy Hoa,VN,84.13,few clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
228,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
233,Kupang,ID,84.2,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
234,Portland,US,87.01,clear sky,45.52,-122.68,Portland Marriott City Center
236,Grand Island,US,86.0,clear sky,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
238,Sanford,US,84.0,few clouds,28.8,-81.27,Best Western Plus Sanford Airport/Lake Mary Hotel
244,Emilio Carranza,MX,78.96,overcast clouds,19.97,-96.61,hotel delicias
245,Rincon,US,84.2,clear sky,32.3,-81.24,Bent tree subdivision
255,Nishihara,JP,80.6,overcast clouds,26.18,127.76,Minshuku Agaihama
256,Half Moon Bay,US,79.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
257,Guerrero Negro,MX,76.21,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
259,Jardim,BR,76.32,clear sky,-21.48,-56.14,Hotel Estância
265,Itarema,BR,78.17,clear sky,-2.92,-39.92,Windvillage
266,Changping,CN,75.99,clear sky,40.22,116.22,Huachang Hotel
267,Turayf,SA,80.6,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
270,Dingle,PH,84.81,overcast clouds,11.0,122.67,Camp Pasica
271,Limbang,MY,82.4,broken clouds,4.75,115.0,Purnama Hotel
273,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
274,Tanete,ID,83.91,broken clouds,-3.94,119.78,Wisma Tri Multi
277,Ko Samui,TH,84.2,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
280,Ambon,ID,84.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
281,Labuhan,ID,80.35,few clouds,-6.88,112.21,bador sepret
282,Kinston,US,84.2,clear sky,35.26,-77.58,Hampton Inn Kinston
284,Kattivakkam,IN,80.6,scattered clouds,13.22,80.32,St. Joseph Thirumana mandapam
287,Hasaki,JP,86.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
289,Sheopur,IN,78.19,clear sky,25.67,76.7,Hotel Bismillah
299,Taganak,PH,82.4,few clouds,6.08,118.3,
300,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
305,Guanica,PR,79.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
306,Sao Miguel,BR,75.2,few clouds,-5.47,-35.37,CEJ - Centro Escoteiro da Juventude
308,Port Hueneme,US,78.01,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
309,Salinopolis,BR,79.25,broken clouds,-0.61,-47.36,Hotel Salinópolis
313,Bull Savanna,JM,77.43,clear sky,17.89,-77.59,Big Red's
314,Faanui,PF,77.9,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
320,Xucheng,CN,80.6,light rain,20.35,110.13,Haixing Hotel
321,Majene,ID,82.24,overcast clouds,-3.54,118.97,Kost Putri RABBANI
322,Bayshore Gardens,US,89.6,few clouds,27.43,-82.59,Ramada by Wyndham Sarasota
323,Estreito,BR,76.96,clear sky,-5.78,-43.25,
324,Kulhudhuffushi,MV,82.26,light rain,6.62,73.07,Haajy Guest House 1
325,Abhaynagar,BD,81.68,broken clouds,23.01,89.4,Alam Mallick House
327,Palauig,PH,85.17,clear sky,15.44,119.9,Myhousebythesea
329,Jalesar,IN,83.28,few clouds,27.48,78.32,YADAV INTERNET POINT
330,Samaro,PK,83.1,overcast clouds,25.28,69.4,M AFZAL GOURNAL STOR SAMARO
331,Alirajpur,IN,77.25,overcast clouds,22.3,74.35,YS Pawar Villa
336,Charters Towers,AU,78.58,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
337,Mayo,US,80.6,overcast clouds,38.89,-76.51,Resorts Resource Group International
343,Port Hedland,AU,82.4,broken clouds,-20.32,118.57,The Esplanade Hotel
345,Longhua,CN,84.43,light rain,23.61,114.19,Huadu Hotel
350,Sabang,ID,82.36,overcast clouds,5.89,95.32,Hotel Citra
351,Lorengau,PG,85.05,light rain,-2.02,147.27,Lorengau Harbourside Hotel
352,Cravo Norte,CO,80.11,few clouds,6.3,-70.2,Hotel El Puerto
353,Fatehpur,IN,81.84,clear sky,25.93,80.8,City Club
356,Bagacay,PH,85.01,overcast clouds,12.98,124.14,
357,Kidal,ML,88.93,scattered clouds,18.44,1.41,
361,Zagora,MA,87.15,clear sky,30.35,-5.84,Prends Ton Temps
363,Vikravandi,IN,78.69,clear sky,12.03,79.55,Capital O 67238 Park Regencys
364,Si Bun Ruang,TH,80.56,light rain,16.97,102.28,รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
366,Balabac,PH,85.87,clear sky,7.99,117.06,Sing and Swing Lodge
367,Sawtell,AU,75.2,few clouds,-30.38,153.1,Boambee Waters Caravan Park
371,Iwanai,JP,84.18,broken clouds,42.97,140.51,いわない高原ホテル
372,Kefamenanu,ID,82.99,clear sky,-9.45,124.48,PAULUS TAITOH
373,Sadao,TH,77.0,broken clouds,6.64,100.42,Banana Resort Sadao
376,Tura,IN,77.25,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
377,Shingu,JP,84.2,scattered clouds,33.73,135.98,Shingu UI Hotel
378,Urucara,BR,83.34,overcast clouds,-2.54,-57.76,Pousada Maria Bonita
381,Kirakira,SB,81.45,light rain,-10.45,161.92,SanBiz Lodge
384,Bonfim,BR,81.37,scattered clouds,3.08,-59.95,
386,Lazaro Cardenas,MX,82.63,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
389,Muli,MV,82.69,light rain,2.92,73.57,Medhufushi Island Resort
391,San Pedro,PH,88.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
392,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
394,Aragarcas,BR,78.8,clear sky,-15.9,-52.25,Hotel Pousada Tropical
396,Binzhou,CN,84.0,clear sky,37.37,118.02,Hampton By Hilton Binzhou
398,Natal,BR,75.2,clear sky,-5.79,-35.21,Villa Park Hotel | Natal
400,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
401,Mahibadhoo,MV,82.4,moderate rain,3.78,72.97,Omadhoo Inn
407,Mlonggo,ID,82.4,haze,-6.53,110.7,Asia Metal Art
410,Hervey Bay,AU,77.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
411,Okrika,NG,75.65,light rain,4.74,7.08,LiSi hotel
412,Bowen,AU,75.2,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
413,Panaba,MX,79.93,scattered clouds,21.28,-88.27,Hotel Amor
417,Sterling,US,75.2,scattered clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
424,Tonantins,BR,77.38,light rain,-2.87,-67.8,Hotel Rei Davi
427,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
428,Methoni,GR,78.01,clear sky,36.82,21.7,Methoni Beach Hotel
429,Sabinas Hidalgo,MX,87.71,overcast clouds,26.5,-100.17,Hotel Real Santiago De Las Sabinas
431,Sabratah,LY,79.2,few clouds,32.79,12.49,مقبرة المجاهديه
438,Daru,PG,80.89,few clouds,-9.08,143.21,New century hotel
439,Eyl,SO,75.9,clear sky,7.98,49.82,Amiin Hotel
441,Warah,PK,85.42,scattered clouds,27.45,67.8,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
442,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
443,Ipixuna,BR,77.0,scattered clouds,-1.76,-48.8,Casa da Oscarina
444,Shancheng,CN,76.28,clear sky,34.8,116.08,Shanxian Golden Dragon Hotel
445,Lincoln,US,84.2,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
446,Maracana,BR,75.54,scattered clouds,-0.77,-47.45,Restaurante e Pousada Rola Papo
448,Ghorawal,IN,78.06,clear sky,24.77,82.78,Abbas Ujjwal Tent House
449,Abu Samrah,SY,76.15,clear sky,35.3,37.18,
450,Gaomi,CN,80.01,clear sky,36.38,119.75,Hanting Express Gaomi Fenghuang Street
451,Ahuimanu,US,89.6,broken clouds,21.44,-157.84,Paradise Bay Resort
459,Avera,US,82.4,clear sky,33.19,-82.53,
467,Sao Felix Do Xingu,BR,76.05,clear sky,-6.64,-51.99,Apart Hotel Rio Xingu
468,Buala,SB,84.2,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
469,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
473,Oistins,BB,80.6,few clouds,13.07,-59.53,Butterfly Beach Hotel
478,Port Macquarie,AU,77.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
479,Great Falls,US,89.6,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
480,Brokopondo,SR,78.66,light rain,4.75,-55.17,Matu Island
484,Chiang Rai,TH,75.2,mist,19.91,99.83,Nak Nakara Hotel
489,Kudahuvadhoo,MV,82.74,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
490,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
497,Riyadh,SA,84.2,clear sky,24.69,46.72,InterContinental Riyadh
500,Biltine,TD,76.01,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
501,Floriano,BR,79.38,clear sky,-6.77,-43.02,Hotel Maktub
502,Sarh,TD,77.0,thunderstorm,9.14,18.39,Hôtel des Chasses
503,Labrea,BR,86.07,broken clouds,-7.26,-64.8,Hotel Novo Horizonte
504,Tumalaytay,PH,86.38,overcast clouds,12.28,123.23,
506,Jining,CN,75.65,clear sky,35.41,116.58,Yunhe Star Hotel
508,Khorramshahr,IR,84.2,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
509,Bajil,YE,86.43,few clouds,15.06,43.29,فندق الصقر السياحي
510,San Policarpo,PH,85.62,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
511,Keelung,TW,86.0,broken clouds,25.13,121.74,East Coast Star Boutique Hotel
514,Mudon,MM,80.73,light rain,16.26,97.72,Motel Mudon
516,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
517,Katsuura,JP,86.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
522,Port Blair,IN,83.07,overcast clouds,11.67,92.75,Fortune Resort Bay Island
523,Pacific Grove,US,75.0,clear sky,36.62,-121.92,Lovers Point Inn
524,Rangoon,MM,80.6,moderate rain,16.81,96.16,"Sule Shangri-La, Yangon"
526,Maningrida,AU,83.59,clear sky,-12.07,134.27,Dhukurrdji Lodge
530,Polson,US,84.0,scattered clouds,47.69,-114.16,Americas Best Value Port Polson Inn
532,Banda Aceh,ID,81.48,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
538,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
539,Ballina,AU,78.01,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
540,Takoradi,GH,75.07,overcast clouds,4.88,-1.76,Raybow International Hotel
544,Robertsport,LR,77.41,overcast clouds,6.75,-11.37,Kwepunha Retreat
548,Naze,JP,80.6,thunderstorm,28.37,129.48,奄美ポートタワーホテル
553,Tarakan,ID,79.99,light rain,3.3,117.63,Hotel D' CaLia Tarakan
555,Gizo,SB,84.25,broken clouds,-8.1,156.84,Imagination Island
556,Pontes E Lacerda,BR,82.74,broken clouds,-15.23,-59.34,Hotel Bressan
559,Gurh,IN,78.06,clear sky,24.52,81.52,SATISH PATEL
562,Puerto Suarez,BO,79.34,clear sky,-18.95,-57.8,Hotel casa real
566,Manacapuru,BR,78.8,clear sky,-3.3,-60.62,Novo Hotel
567,Gigmoto,PH,86.92,broken clouds,13.78,124.39,Cj's Travellers Inn
574,Neiafu,TO,77.0,few clouds,-18.65,-173.98,Mystic Sands
577,Tiarei,PF,84.2,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
580,Durant,US,82.4,scattered clouds,33.99,-96.37,Holiday Inn Express & Suites Durant
582,Malpe,IN,78.8,broken clouds,13.35,74.72,Hotel Sri Krishna Residency
586,Lagunas,PE,78.26,light rain,-5.23,-75.68,Hospedaje Eco
593,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
594,Ormara,PK,80.46,clear sky,25.21,64.64,
595,Hutchinson,US,87.8,clear sky,38.06,-97.93,Hampton Inn Hutchinson
599,Besikduzu,TR,77.0,scattered clouds,41.05,39.23,YKT
601,Cotonou,BJ,78.8,few clouds,6.37,2.42,Novotel Cotonou Orisha
602,Japura,ID,77.5,overcast clouds,-0.32,102.35,Rumah mbah Jamah
603,Yining,CN,78.76,clear sky,29.04,114.56,Xiushui Hotel
607,Jardim De Piranhas,BR,75.72,clear sky,-6.38,-37.35,Área de lazer olho d'agua
612,Curuca,BR,75.99,light rain,-0.73,-47.85,Hotel Curuça
616,Saint Marys,US,84.2,clear sky,30.73,-81.55,Spencer House Inn
621,Port Keats,AU,85.64,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
623,Caucaia,BR,80.6,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
627,Nova Olinda Do Norte,BR,80.78,clear sky,-3.89,-59.09,Nova Olinda Palace Hotel
629,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
632,Almeirim,BR,79.34,broken clouds,-1.52,-52.58,Ricácio Hotel
633,Kalanwali,IN,79.5,light rain,29.85,74.95,Taj Palace
636,Katherine,AU,87.8,clear sky,-14.47,132.27,Pine Tree Motel
637,Kant,IN,82.26,broken clouds,27.8,79.8,Haseeb Khan shatreng
639,Yatou,CN,78.39,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
640,Laem Sing,TH,86.0,broken clouds,12.48,102.07,Laemsing Whitehouse Resort
642,Huangmei,CN,77.79,clear sky,30.19,116.03,Tianxiachan Hotel
644,Sur,OM,78.93,clear sky,22.57,59.53,Sur Plaza Hotel
646,Meulaboh,ID,80.22,light rain,4.14,96.13,Kost Pria
649,Rock Sound,BS,84.24,overcast clouds,24.9,-76.2,Rock Sound Club
650,Key West,US,87.8,few clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
655,Brookhaven,US,82.99,broken clouds,31.58,-90.44,Americas Best Value Inn Brookhaven
661,Butterworth,MY,80.6,haze,5.4,100.36,Cititel Penang
665,Samarai,PG,78.22,light rain,-10.62,150.67,Nuli Sapi
668,Cockburn Town,TC,83.68,overcast clouds,21.46,-71.14,Osprey Beach Hotel
670,Kalmunai,LK,79.9,overcast clouds,7.42,81.82,VS Villa
673,Abu Dhabi,AE,87.8,clear sky,24.47,54.37,Beach Rotana
677,Ewa Beach,US,89.6,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
678,Mawlaik,MM,81.21,scattered clouds,23.63,94.42,AKZ Guest House
682,Sabha,LY,81.82,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
683,Bahua,IN,82.13,clear sky,25.85,80.63,Ringal Cabin
684,Itoman,JP,80.6,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
686,Havelock,US,84.99,scattered clouds,34.88,-76.9,Sherwood Motel
690,Frei Paulo,BR,78.8,scattered clouds,-10.55,-37.53,Restaurante e Pousada Nossa Senhora De Fátima
699,Kieta,PG,85.32,few clouds,-6.22,155.63,
700,Sola,VU,82.4,overcast clouds,-13.88,167.55,Leumerus Bungalows
701,Bikaner,IN,84.22,moderate rain,28.02,73.3,The Laxmi Niwas Palace
702,Uturoa,PF,78.39,scattered clouds,-16.73,-151.43,Villa Tonoï
704,Otaru,JP,77.0,broken clouds,43.19,141.0,GRAND PARK OTARU
707,Amahai,ID,81.25,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
708,Kasongo-Lunda,CD,76.15,few clouds,-6.47,16.82,
710,Nouadhibou,MR,75.2,few clouds,20.93,-17.03,El Medina
711,Conceicao Das Alagoas,BR,77.0,clear sky,-19.91,-48.39,Bouganville Hotel
714,Aden,YE,83.61,overcast clouds,12.78,45.04,Sama Emirate Hotel
717,Hoi An,VN,87.8,few clouds,15.88,108.33,Belle Maison Hadana Hoi An Resort & Spa managed by H&K Hospitality
719,Austin,US,77.0,light rain,30.27,-97.74,The Driskill - In the Unbound Collection by Hyatt
721,Segou,ML,76.86,scattered clouds,13.43,-6.22,Comme chez soi
